ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
2020d;2002;12;Fabricación de otros productos químicos;38,7;64,5;47,4;79;91,7;114,9;75,4
2020d;2003;1;Fabricación de otros productos químicos;38,4;64,7;39,3;66;86,2;108,7;71,2
2020d;2003;2;Fabricación de otros productos químicos;47,4;77,8;46,8;77,1;91,2;115,2;74,8
2020d;2003;3;Fabricación de otros productos químicos;54,5;88,5;53,5;87,1;92,4;116;76,2
2020d;2003;4;Fabricación de otros productos químicos;47,6;77;49,8;80,6;91,1;115,2;74,6
2020d;2003;5;Fabricación de otros productos químicos;50,8;82,4;51;82,8;90,3;114,4;73,7
2020d;2003;6;Fabricación de otros productos químicos;44;71,8;51,7;85,1;88,4;113,1;72
2020d;2003;7;Fabricación de otros productos químicos;49,8;81;52,7;86,1;89,8;113,5;73,7
2020d;2003;8;Fabricación de otros productos químicos;47,3;77,1;50,6;82,6;90,4;111,8;75,5
2020d;2003;9;Fabricación de otros productos químicos;51,4;83,4;56,4;91,9;90,9;114,3;74,8
2020d;2003;10;Fabricación de otros productos químicos;50,6;80,7;51,8;82,7;91,8;116,2;75
2020d;2003;11;Fabricación de otros productos químicos;49,9;79,2;55,5;88,7;92,2;114,9;76,4
2020d;2003;12;Fabricación de otros productos químicos;42,3;66,8;50,5;79,9;91,1;113,1;75,6
2020d;2004;1;Fabricación de otros productos químicos;36,7;59,1;40,6;65,3;84,3;106,2;69,8
2020d;2004;2;Fabricación de otros productos químicos;49,5;78;48,5;76,7;88,3;109,6;74
2020d;2004;3;Fabricación de otros productos químicos;55;86,4;53,8;84,4;89,1;108,6;75,9
2020d;2004;4;Fabricación de otros productos químicos;49,4;77,5;52,6;82,8;88,2;108,6;74,4
2020d;2004;5;Fabricación de otros productos químicos;55,3;86,5;54,4;85;88,7;108,4;75,3
2020d;2004;6;Fabricación de otros productos químicos;53,4;83,8;61;96,4;88;109,3;74
2020d;2004;7;Fabricación de otros productos químicos;51,2;80,4;53,5;84,5;88,5;110,1;73,9
2020d;2004;8;Fabricación de otros productos químicos;51,1;80,9;54;85,5;88,9;108,9;75
2020d;2004;9;Fabricación de otros productos químicos;54,9;86,6;56,7;89,7;89,7;110,2;75,7
2020d;2004;10;Fabricación de otros productos químicos;52,8;82,1;55,5;86,4;92,7;114,7;77,7
2020d;2004;11;Fabricación de otros productos químicos;54,3;84,1;60,8;94,8;93,1;113,9;78,8
2020d;2004;12;Fabricación de otros productos químicos;47,4;73,1;55;85;91,8;111,3;78,1
2020d;2005;1;Fabricación de otros productos químicos;42,5;67,2;42,7;67,3;86,6;106,4;73,6
2020d;2005;2;Fabricación de otros productos químicos;49,9;77,5;49,9;77,7;90,7;110,2;77,8
2020d;2005;3;Fabricación de otros productos químicos;52,4;80,9;51,7;79,5;91,3;110,1;78,7
2020d;2005;4;Fabricación de otros productos químicos;53,7;82,7;54,4;83,8;91,1;109,7;78,7
2020d;2005;5;Fabricación de otros productos químicos;54;83,5;55,9;86;91;109,3;78,6
2020d;2005;6;Fabricación de otros productos químicos;54,3;84,2;62,7;97,8;90,1;110,5;76,8
2020d;2005;7;Fabricación de otros productos químicos;50,8;78,2;51,1;79,1;90,2;110,2;76,9
2020d;2005;8;Fabricación de otros productos químicos;53,3;82,6;56,2;87,1;91,7;108,6;80,1
2020d;2005;9;Fabricación de otros productos químicos;55;84,6;58,9;90,9;91,2;108,8;79,4
2020d;2005;10;Fabricación de otros productos químicos;49,3;74,8;54,8;83,3;93,8;114,1;79,9
2020d;2005;11;Fabricación de otros productos químicos;54,8;83;63,2;96,4;95,9;114,9;82,9
2020d;2005;12;Fabricación de otros productos químicos;43,9;65,8;54,8;82,3;97,2;113,7;85,8
2020d;2006;1;Fabricación de otros productos químicos;44,9;68,8;45;68,7;90,6;106,3;80,8
2020d;2006;2;Fabricación de otros productos químicos;50,1;75,5;54,2;82;95,7;111,7;85,4
2020d;2006;3;Fabricación de otros productos químicos;58,8;88,2;59;88,4;96,8;112,6;86,3
2020d;2006;4;Fabricación de otros productos químicos;49,5;74,2;52,5;78,7;98,3;112,6;89,1
2020d;2006;5;Fabricación de otros productos químicos;60,7;90,7;61,7;92;97,3;111,9;87,9
2020d;2006;6;Fabricación de otros productos químicos;60,7;90,1;65,3;97,3;96,8;113,5;86,1
2020d;2006;7;Fabricación de otros productos químicos;59,3;87,5;59,8;88,6;97,8;113,4;87,6
2020d;2006;8;Fabricación de otros productos químicos;63,7;94,7;65;96,7;99,9;113,9;90,5
2020d;2006;9;Fabricación de otros productos químicos;67;99;68,8;101,8;100,8;116;90,8
2020d;2006;10;Fabricación de otros productos químicos;62,8;91,7;64,1;93,9;104,1;122,8;91,6
2020d;2006;11;Fabricación de otros productos químicos;62,1;91,3;71,4;105,5;104,3;122,4;92,1
2020d;2006;12;Fabricación de otros productos químicos;51;74,4;62,1;90,7;103,3;119;92,5
2020d;2007;1;Fabricación de otros productos químicos;44,8;67;48,3;71,8;95,9;113,7;84,6
2020d;2007;2;Fabricación de otros productos químicos;57,8;85,5;57;84,5;101,2;118,8;89,8
2020d;2007;3;Fabricación de otros productos químicos;65,5;96,3;64,2;94,2;101,8;120,3;89,6
2020d;2007;4;Fabricación de otros productos químicos;55,9;82,5;58,2;86;100,8;119,2;88,6
2020d;2007;5;Fabricación de otros productos químicos;61;91,1;62,4;93;100,5;118,5;88,6
2020d;2007;6;Fabricación de otros productos químicos;59,6;90,4;64,9;98,9;98,4;116,3;86,9
2020d;2007;7;Fabricación de otros productos químicos;55,7;83,6;58,5;88,1;98,2;117,4;85,5
2020d;2007;8;Fabricación de otros productos químicos;58,9;88;63,3;94,5;99,5;114,8;89,1
2020d;2007;9;Fabricación de otros productos químicos;61,9;91,7;66,6;98,9;99,9;116,9;88,5
2020d;2007;10;Fabricación de otros productos químicos;63,1;92,9;67,1;99;102,4;120,7;90,1
2020d;2007;11;Fabricación de otros productos químicos;63;92,7;69,7;103,1;102,8;119,6;91,3
2020d;2007;12;Fabricación de otros productos químicos;56,1;81,7;68,8;100,4;100,9;117,3;89,6
2020d;2008;1;Fabricación de otros productos químicos;53,5;79,7;49,5;72,7;94,6;109,4;85,4
2020d;2008;2;Fabricación de otros productos químicos;57,4;83,9;58,7;85,8;98,2;114;88
2020d;2008;3;Fabricación de otros productos químicos;61,8;89,4;60,1;87,1;100,3;116,6;89,6
2020d;2008;4;Fabricación de otros productos químicos;66,3;95,9;67,4;97,5;98,6;111,9;90
2020d;2008;5;Fabricación de otros productos químicos;62,3;90,3;63,8;92,5;97,5;109,7;89,8
2020d;2008;6;Fabricación de otros productos químicos;63,3;92,5;69,2;101,6;96,9;110,6;88,3
2020d;2008;7;Fabricación de otros productos químicos;67,6;97,5;64;92,9;97;112;87,3
2020d;2008;8;Fabricación de otros productos químicos;62,1;90,3;61,2;89;96,3;109,4;87,5
2020d;2008;9;Fabricación de otros productos químicos;69,2;98,6;68,3;97,7;97;109,8;88,6
2020d;2008;10;Fabricación de otros productos químicos;72;99,5;70,9;98,2;99,1;113,8;89,3
2020d;2008;11;Fabricación de otros productos químicos;65,5;90,4;72,4;100,7;100;113,8;90,7
2020d;2008;12;Fabricación de otros productos químicos;55,6;76,5;69,4;95,3;97,7;110,8;88,9
2020d;2009;1;Fabricación de otros productos químicos;54;75,6;53;73,9;87,4;100;79,8
2020d;2009;2;Fabricación de otros productos químicos;62,7;84,9;62,8;85,1;92,5;104,9;84,9
2020d;2009;3;Fabricación de otros productos químicos;72,7;97,2;69,6;92,9;93,4;105,2;86
2020d;2009;4;Fabricación de otros productos químicos;62,9;84,6;66,4;89,4;92,8;105,3;84,8
2020d;2009;5;Fabricación de otros productos químicos;65,5;89,2;68,5;93;91,8;104;84
2020d;2009;6;Fabricación de otros productos químicos;65,1;90;70;97;89,7;104,2;80,5
2020d;2009;7;Fabricación de otros productos químicos;66,5;91,8;65,4;90,8;90,6;104,5;81,6
2020d;2009;8;Fabricación de otros productos químicos;63,6;88,1;65,8;91,4;91,4;104,4;82,7
2020d;2009;9;Fabricación de otros productos químicos;68,6;94,7;70,4;97,5;92;105,6;83,1
2020d;2009;10;Fabricación de otros productos químicos;67,3;92,8;66,9;92,5;93,7;109,3;83,3
2020d;2009;11;Fabricación de otros productos químicos;60,9;83,8;69;95,4;93,8;109;83,5
2020d;2009;12;Fabricación de otros productos químicos;57,4;78;67,7;91,8;93,2;106,8;84
2020d;2010;1;Fabricación de otros productos químicos;53,5;74,1;48,5;67,1;85,1;98;77,1
2020d;2010;2;Fabricación de otros productos químicos;64,3;87,6;61,5;83,9;90;101,1;83,2
2020d;2010;3;Fabricación de otros productos químicos;76;103,3;72,7;98,7;90,9;102,6;83,4
2020d;2010;4;Fabricación de otros productos químicos;66,1;90,1;66,8;91,5;91,3;103,7;83,3
2020d;2010;5;Fabricación de otros productos químicos;71;97,1;67,3;91,9;90,8;102,2;83,6
2020d;2010;6;Fabricación de otros productos químicos;71,9;99,2;75,9;105;91,9;104,6;83,9
2020d;2010;7;Fabricación de otros productos químicos;69,2;95,4;62,7;86,8;91,9;103,1;84,8
2020d;2010;8;Fabricación de otros productos químicos;69,3;96,6;69,5;96,9;92,6;102,3;86,3
2020d;2010;9;Fabricación de otros productos químicos;73,3;101,7;69,9;96,9;93,2;103,4;86,8
2020d;2010;10;Fabricación de otros productos químicos;71,7;97,8;68,6;93,5;95,8;107,1;88,5
2020d;2010;11;Fabricación de otros productos químicos;68,1;92,5;74,1;101,3;96,7;107,6;89,4
2020d;2010;12;Fabricación de otros productos químicos;65,1;87,4;75,8;101,6;94,3;105,1;87
2020d;2011;1;Fabricación de otros productos químicos;59,1;81;55,4;75,9;89,3;99,4;83,6
2020d;2011;2;Fabricación de otros productos químicos;64,8;87,3;63,8;86,2;93,5;100,7;89,6
2020d;2011;3;Fabricación de otros productos químicos;82,1;110,4;75,8;101,6;95,8;102,2;92,4
2020d;2011;4;Fabricación de otros productos químicos;69,3;93,7;66,9;90,7;96,6;103,4;92,9
2020d;2011;5;Fabricación de otros productos químicos;84,8;114,7;76,7;103,5;97,7;103,9;94,4
2020d;2011;6;Fabricación de otros productos químicos;80,3;108,9;79,5;108,5;97,1;105,2;92,6
2020d;2011;7;Fabricación de otros productos químicos;73,9;99,8;68,9;93,4;98,6;107,2;93,5
2020d;2011;8;Fabricación de otros productos químicos;76,1;103,2;72,5;98,2;98,9;107;94
2020d;2011;9;Fabricación de otros productos químicos;76;102;75;100,4;95,1;100;92,5
2020d;2011;10;Fabricación de otros productos químicos;70,3;92,8;70,7;92,9;96,9;103;93,3
2020d;2011;11;Fabricación de otros productos químicos;75;98,7;78,8;103,5;98,6;104,7;94,9
2020d;2011;12;Fabricación de otros productos químicos;66,7;86,3;74,8;96,6;97,3;103,2;93,7
2020d;2012;1;Fabricación de otros productos químicos;60,5;79,8;58,6;77,1;90,1;96,5;87,1
2020d;2012;2;Fabricación de otros productos químicos;72,2;93,8;71,8;93,5;94,4;99,4;92,1
2020d;2012;3;Fabricación de otros productos químicos;81;105,1;76,6;99,4;95,9;100,7;93,7
2020d;2012;4;Fabricación de otros productos químicos;72,1;93,1;72,6;94;95,4;101,3;92,4
2020d;2012;5;Fabricación de otros productos químicos;84,9;109,9;82,3;106,4;97,7;104;94,4
2020d;2012;6;Fabricación de otros productos químicos;77,3;100,7;86,3;113;95,9;104,2;91,2
2020d;2012;7;Fabricación de otros productos químicos;76;98,7;73,4;95,1;97,7;104,4;94
2020d;2012;8;Fabricación de otros productos químicos;74,2;95,9;79,9;103,2;98,6;103,9;95,6
2020d;2012;9;Fabricación de otros productos químicos;77,2;99,7;79,7;102,9;99,1;105,4;95,5
2020d;2012;10;Fabricación de otros productos químicos;75,5;96,8;77,2;98,6;102,8;109,4;98,9
2020d;2012;11;Fabricación de otros productos químicos;75,6;97;85;109;102,8;109,3;98,9
2020d;2012;12;Fabricación de otros productos químicos;63,5;80,1;73,3;92,5;102,4;109;98,3
2020d;2013;1;Fabricación de otros productos químicos;64,9;83,3;62,1;79,5;94,7;102,2;91
2020d;2013;2;Fabricación de otros productos químicos;69,6;88,2;70,7;89,9;96,8;103,8;93,1
2020d;2013;3;Fabricación de otros productos químicos;74,7;94,7;72,5;91,3;96,8;102,8;93,7
2020d;2013;4;Fabricación de otros productos químicos;80,2;101,7;79,5;100,5;97,4;103,7;94
2020d;2013;5;Fabricación de otros productos químicos;82,3;104,2;84,1;106;96,6;103,6;92,7
2020d;2013;6;Fabricación de otros productos químicos;81,5;103,6;85,6;109,2;94,7;103,2;89,8
2020d;2013;7;Fabricación de otros productos químicos;76,5;96,7;77,1;97,5;95,4;102,9;91
2020d;2013;8;Fabricación de otros productos químicos;76,4;96,9;81;102,8;96,6;103,2;92,6
2020d;2013;9;Fabricación de otros productos químicos;78,3;98,9;82,3;104;97,2;104,5;92,9
2020d;2013;10;Fabricación de otros productos químicos;78,4;98,3;78,7;98,5;98,2;108,2;91,8
2020d;2013;11;Fabricación de otros productos químicos;72,8;90,7;87,1;109;100,1;111,4;92,6
2020d;2013;12;Fabricación de otros productos químicos;68,5;84,3;82,2;101,2;98,4;107,6;92,4
2020d;2014;1;Fabricación de otros productos químicos;65,7;81,6;62,8;78;92,5;103,1;86,4
2020d;2014;2;Fabricación de otros productos químicos;75;91,7;72,8;89;96,1;105;91
2020d;2014;3;Fabricación de otros productos químicos;83,2;101,5;80,4;98,2;97,4;105,8;92,6
2020d;2014;4;Fabricación de otros productos químicos;77,3;94,9;79,5;97,7;97,7;105,8;93
2020d;2014;5;Fabricación de otros productos químicos;85,5;105,4;85,7;105,6;98;105,7;93,7
2020d;2014;6;Fabricación de otros productos químicos;77,5;96,2;81,6;101,4;97,3;105,5;92,7
2020d;2014;7;Fabricación de otros productos químicos;82,3;102,4;81,3;100,9;98,4;105,9;94,2
2020d;2014;8;Fabricación de otros productos químicos;77;95,2;79,7;98,5;98,9;104,3;95,8
2020d;2014;9;Fabricación de otros productos químicos;85,5;104,8;86,3;105,9;98,8;105,1;95,2
2020d;2014;10;Fabricación de otros productos químicos;84,3;102,1;86,4;104,5;98,6;103,4;95,9
2020d;2014;11;Fabricación de otros productos químicos;79,7;96,1;89,5;108;98,9;102,9;96,7
2020d;2014;12;Fabricación de otros productos químicos;76,5;89,6;89,1;104,5;98,8;102,9;96,4
2020d;2015;1;Fabricación de otros productos químicos;71,3;81,9;70,5;81;94,5;99,7;91,6
2020d;2015;2;Fabricación de otros productos químicos;84;95,4;82,2;93,3;100,2;103,7;98,3
2020d;2015;3;Fabricación de otros productos químicos;93,8;103,8;91,7;101,5;101,7;105,2;99,6
2020d;2015;4;Fabricación de otros productos químicos;87,1;96,6;87,3;96,9;101,6;106,3;98,9
2020d;2015;5;Fabricación de otros productos químicos;91,7;102,8;89,5;100,4;99,3;103,8;96,8
2020d;2015;6;Fabricación de otros productos químicos;91,8;102,2;94,5;105,2;99,8;104,2;97,4
2020d;2015;7;Fabricación de otros productos químicos;94,8;102,9;95,4;103,5;100;104,6;97,3
2020d;2015;8;Fabricación de otros productos químicos;93,2;98,2;95,5;100,7;99,4;102,6;97,7
2020d;2015;9;Fabricación de otros productos químicos;102,1;106,4;104,9;109,3;97,8;102,5;95,1
2020d;2015;10;Fabricación de otros productos químicos;99,5;105,5;100,3;106,3;98,2;103,2;95,4
2020d;2015;11;Fabricación de otros productos químicos;94,5;99,9;104,8;110,8;98,6;102,3;96,6
2020d;2015;12;Fabricación de otros productos químicos;86,8;89,5;102,4;105,4;98,7;102,6;96,4
2020d;2016;1;Fabricación de otros productos químicos;83,6;84,7;77,1;78,3;96,3;98,3;95,1
2020d;2016;2;Fabricación de otros productos químicos;97,6;97,5;92,7;92,8;99,5;100,8;98,8
2020d;2016;3;Fabricación de otros productos químicos;97,1;98,4;94,8;96,2;100,3;102,2;99,2
2020d;2016;4;Fabricación de otros productos químicos;99,6;101,3;96,4;98,1;101;103,5;99,5
2020d;2016;5;Fabricación de otros productos químicos;100,1;102;97,8;99,7;100,5;104,2;98,4
2020d;2016;6;Fabricación de otros productos químicos;101,4;103,4;105,5;107,6;100,3;104,3;98,1
2020d;2016;7;Fabricación de otros productos químicos;93,2;95,5;92,8;95,1;99,5;103;97,5
2020d;2016;8;Fabricación de otros productos químicos;105,7;108,4;104;106,8;99,2;103,1;97,1
2020d;2016;9;Fabricación de otros productos químicos;106,1;109,8;107;110,8;99,3;103,7;96,8
2020d;2016;10;Fabricación de otros productos químicos;104,5;108;99,1;102,4;99,1;103,2;96,9
2020d;2016;11;Fabricación de otros productos químicos;102,7;104,6;107,1;109,2;100,3;103,4;98,6
2020d;2016;12;Fabricación de otros productos químicos;89,9;92,4;105,9;109;100,5;102,1;99,5
2020d;2017;1;Fabricación de otros productos químicos;85,9;87,2;82,4;83,7;97,2;98;96,7
2020d;2017;2;Fabricación de otros productos químicos;92,6;94,3;90;91,6;100,2;100,9;99,8
2020d;2017;3;Fabricación de otros productos químicos;106,1;107,1;99,8;100,9;101,6;102,1;101,2
2020d;2017;4;Fabricación de otros productos químicos;87,8;88,9;89,9;91,1;101,3;101,8;101
2020d;2017;5;Fabricación de otros productos químicos;102,3;103,4;99,7;100,8;101;103;99,8
2020d;2017;6;Fabricación de otros productos químicos;100,4;101,2;105,9;106,9;101;103,3;99,8
2020d;2017;7;Fabricación de otros productos químicos;97,7;97,5;94,4;94,3;100,4;104,1;98,2
2020d;2017;8;Fabricación de otros productos químicos;104,1;105,4;103,8;105,3;100;103,4;98
2020d;2017;9;Fabricación de otros productos químicos;108,4;110,1;107,7;109,5;99,7;102,7;98
2020d;2017;10;Fabricación de otros productos químicos;97,4;98,9;97,5;99;99,4;101,9;98,1
2020d;2017;11;Fabricación de otros productos químicos;104,6;106,1;109,1;110,7;100,2;101,4;99,7
2020d;2017;12;Fabricación de otros productos químicos;88,1;89,6;105;106,8;99,9;100,8;99,5
2020d;2018;1;Fabricación de otros productos químicos;82,8;84,1;80,6;82;97,8;97,4;98,1
2020d;2018;2;Fabricación de otros productos químicos;94,2;95,3;93,6;94,7;99,5;99,4;99,6
2020d;2018;3;Fabricación de otros productos químicos;94,1;94,9;96,6;97,4;99,7;100,6;99,1
2020d;2018;4;Fabricación de otros productos químicos;98,2;99,2;94,5;95,5;99,4;100,2;98,9
2020d;2018;5;Fabricación de otros productos químicos;103,2;103,8;98,8;99,4;99,8;100;99,6
2020d;2018;6;Fabricación de otros productos químicos;99,2;99,7;100,2;100,8;100;99,7;100,3
2020d;2018;7;Fabricación de otros productos químicos;100,2;100,8;96,5;97,2;100,6;101,5;100
2020d;2018;8;Fabricación de otros productos químicos;105,5;105,3;104,9;104,7;100,8;100,7;100,9
2020d;2018;9;Fabricación de otros productos químicos;110,7;109,8;108,3;107,4;100,9;100,9;100,9
2020d;2018;10;Fabricación de otros productos químicos;111,9;110,6;106,1;104,9;101,3;100,9;101,7
2020d;2018;11;Fabricación de otros productos químicos;108,6;106,8;115,4;113,4;100,9;99,9;101,6
2020d;2018;12;Fabricación de otros productos químicos;91,4;89,7;104,5;102,6;99,1;98,9;99,3
2020d;2019;1;Fabricación de otros productos químicos;87,3;85,6;85,3;83,7;98;97,6;98,2
2020d;2019;2;Fabricación de otros productos químicos;102,1;99,7;100,1;97,7;100,8;99,6;101,6
2020d;2019;3;Fabricación de otros productos químicos;108,5;105,7;106,6;103,9;101,1;99,6;102,1
2020d;2019;4;Fabricación de otros productos químicos;104;101;102,9;100;101,2;99,2;102,6
2020d;2019;5;Fabricación de otros productos químicos;112;107,2;114,7;109,9;102,1;100,3;103,4
2020d;2019;6;Fabricación de otros productos químicos;103,3;99;108,4;104;101,8;99;103,6
2020d;2019;7;Fabricación de otros productos químicos;110,3;106,1;110,3;106,1;101,2;98,7;102,8
2020d;2019;8;Fabricación de otros productos químicos;109,4;104,5;111,8;106,8;101,6;99;103,3
2020d;2019;9;Fabricación de otros productos químicos;112,1;106,7;114,8;109,2;101,9;98,4;104,2
2020d;2019;10;Fabricación de otros productos químicos;114,7;108,8;114,1;108,2;102;98,9;104
2020d;2019;11;Fabricación de otros productos químicos;109,2;103,8;118,5;112,6;102;99,2;103,9
2020d;2019;12;Fabricación de otros productos químicos;103,3;98;112,7;107;100,5;98,4;101,9
